ID,TotalAmount,MostRecent,NumberOfPurchases,PurchaseInterval
904,977,10/10/2006,9,83
905,875,8/27/2006,9,127
906,1771,8/26/2006,17,128
907,959,11/24/2006,10,38
908,371,6/16/2005,6,564
909,698,11/25/2006,8,37
910,1346,9/20/2006,15,103
911,259,11/21/2006,3,41
912,926,9/21/2006,9,102
913,768,6/9/2006,11,206
914,1130,11/11/2006,14,51
915,1275,9/3/2006,14,120
916,626,10/26/2005,10,432
917,879,7/25/2006,9,160
918,961,9/6/2006,11,117
919,952,9/10/2006,9,113
920,1275,8/25/2006,13,129
921,1954,7/10/2006,18,175
922,471,7/24/2006,6,161
923,729,9/24/2006,11,99
924,1704,11/6/2006,13,56
925,812,4/25/2006,12,251
926,791,9/27/2006,7,96
927,1061,7/12/2006,10,173
928,1373,10/13/2006,12,80
929,889,8/13/2006,10,141
930,929,7/5/2006,9,180
931,972,7/20/2006,11,165
932,626,6/14/2006,8,201
933,1304,9/10/2006,13,113
934,716,10/23/2005,11,435
935,853,10/17/2006,11,76
936,791,8/5/2006,7,149
937,664,8/5/2006,10,149
938,325,9/16/2006,6,107
939,407,6/11/2006,7,204
940,750,9/19/2006,8,104
941,1063,9/6/2006,11,117
942,989,12/3/2006,10,29
943,1051,9/22/2006,12,101
944,980,6/16/2006,8,199
945,549,7/22/2006,9,163
946,362,11/12/2005,2,415
947,1337,11/24/2006,11,38
948,1432,8/6/2006,11,148
949,918,7/3/2006,8,182
950,845,7/12/2006,10,173
951,992,10/9/2006,11,84
952,609,12/2/2005,7,395
953,452,7/29/2006,8,156
954,636,10/11/2006,8,82
955,1179,10/2/2006,12,91
956,420,6/19/2005,5,561
957,476,6/11/2006,6,204
958,1087,3/31/2006,10,276
959,514,4/15/2006,6,261
960,1151,11/12/2006,10,50
961,971,6/29/2006,13,186
962,646,10/17/2005,5,441
963,662,9/3/2006,9,120
964,376,9/10/2006,7,113
965,1103,10/7/2006,11,86
966,1180,5/17/2006,14,229
967,697,11/11/2006,8,51
968,694,11/22/2006,7,40
969,901,10/31/2006,11,62
970,1093,7/25/2006,9,160
971,896,6/11/2005,6,569
972,541,6/23/2006,5,192
973,1456,11/11/2006,12,51
974,1269,9/29/2006,14,94
975,839,1/31/2006,9,335
976,1252,3/27/2006,8,280
977,1166,10/22/2006,12,71
978,1225,6/9/2006,12,206
979,1884,10/4/2006,21,89
980,603,9/14/2006,7,109
981,371,11/5/2005,4,422
982,247,6/7/2006,2,208
983,967,11/22/2006,15,40
984,903,10/16/2006,12,77
985,1150,8/28/2006,11,126
986,1339,7/25/2006,12,160
987,892,9/21/2005,10,467
988,426,4/14/2006,9,262
989,301,12/16/2006,5,16
990,941,11/17/2006,11,45
991,801,7/21/2006,8,164
992,951,5/4/2006,12,242
993,1149,9/16/2005,11,472
994,549,10/4/2006,8,89
995,571,9/2/2006,9,121
996,523,8/1/2005,5,518
997,1358,7/24/2006,14,161
998,1212,12/10/2005,13,387
999,1462,8/21/2006,12,133
1000,1019,6/4/2006,10,211
1001,548,7/15/2006,6,170
1002,950,7/7/2006,12,178
1003,1474,3/27/2006,13,280
1004,1344,6/12/2006,13,203
1005,1660,11/25/2006,18,37
1006,880,7/14/2006,9,171
1007,919,11/25/2006,14,37
1008,1236,7/29/2006,12,156
1009,453,3/20/2005,6,652
1010,1207,8/5/2006,15,149
1011,1860,5/29/2006,15,217
1012,898,4/17/2006,8,259
1013,816,1/21/2006,7,345
1014,429,7/4/2006,5,181
1015,583,9/18/2006,8,105
1016,735,5/5/2006,12,241
1017,597,10/13/2006,6,80
1018,775,11/16/2006,11,46
1019,1598,8/26/2006,15,128
1020,1149,8/5/2006,10,149
1021,1019,10/23/2006,10,70
1022,813,6/26/2006,6,189
1023,454,7/29/2006,7,156
1024,577,10/27/2006,8,66
1025,753,9/1/2006,7,122
1026,485,11/13/2006,4,49
1027,951,9/2/2006,10,121
1028,482,4/21/2006,5,255
1029,922,3/29/2006,9,278
1030,987,8/10/2006,11,144
1031,1087,8/27/2006,13,127
1032,708,8/26/2006,8,128
1033,1083,9/6/2006,13,117
1034,1438,9/9/2006,12,114
1035,803,8/26/2006,9,128
1036,962,11/13/2006,9,49
1037,630,9/7/2006,8,116
1038,667,10/11/2006,9,82
1039,1262,1/25/2006,12,341
1040,1307,8/14/2006,15,140
1041,1797,2/8/2006,13,327
1042,968,11/12/2005,12,415
1043,1026,10/1/2006,11,92
1044,813,12/8/2006,11,24
1045,1385,5/30/2006,16,216
1046,1456,10/4/2006,18,89
1047,834,8/30/2006,10,124
1048,809,9/23/2006,10,100
1049,532,1/28/2006,5,338
1050,388,8/1/2006,6,153
1051,986,3/20/2006,11,287
1052,1336,8/15/2006,12,139
1053,1237,3/26/2006,12,281
1054,1281,11/24/2006,13,38
1055,985,10/18/2006,9,75
1056,783,10/10/2006,7,83
1057,638,10/13/2006,8,80
1058,874,9/17/2006,7,106
1059,1508,12/9/2006,17,23
1060,766,7/30/2005,8,520
1061,1321,10/7/2006,11,86
1062,1126,7/22/2006,11,163
1063,715,12/15/2005,6,382
1064,935,8/25/2006,10,129
1065,965,8/15/2005,10,504
1066,488,10/25/2005,8,433
1067,968,10/26/2006,11,67
1068,695,12/9/2005,9,388
1069,694,7/11/2006,7,174
1070,518,4/17/2006,7,259
1071,777,10/10/2006,9,83
1072,526,11/19/2006,6,43
1073,687,10/24/2006,9,69
1074,510,10/4/2006,4,89
1075,649,11/27/2005,9,400
1076,1111,9/2/2005,10,486
1077,1088,11/4/2006,10,58
1078,409,10/23/2006,5,70
1079,539,4/4/2006,8,272
1080,610,8/6/2006,8,148
1081,1438,9/20/2006,15,103
1082,686,8/30/2006,8,124
1083,692,7/15/2006,9,170
1084,1138,11/25/2005,12,402
1085,390,8/2/2006,5,152
1086,1056,11/10/2006,10,52
1087,522,4/26/2006,6,250
1088,1025,6/16/2006,9,199
1089,1529,11/28/2006,15,34
1090,384,5/22/2006,4,224
1091,1030,11/16/2006,11,46
1092,962,8/9/2006,10,145
1093,611,8/18/2006,6,136
1094,445,9/8/2006,6,115
1095,955,11/9/2005,9,418
1096,1113,5/2/2006,12,244
1097,1338,8/21/2006,12,133
1098,889,8/8/2005,7,511
1099,1064,11/22/2006,11,40
1100,766,9/26/2006,7,97
1101,1650,6/21/2006,16,194
1102,1193,10/6/2006,14,87
1103,744,7/23/2006,7,162
1104,685,10/7/2005,9,451
1105,941,9/29/2006,12,94
1106,1947,8/31/2006,17,123
1107,626,10/29/2005,7,429
1108,688,8/29/2006,7,125
1109,717,8/23/2006,8,131
1110,676,8/18/2006,8,136
1111,1505,5/28/2006,14,218
1112,871,11/22/2005,8,405
1113,1184,11/1/2006,12,61
1114,1041,7/28/2006,9,157
1115,551,8/17/2006,5,137
1116,1175,11/19/2006,15,43
1117,862,6/2/2006,8,213
1118,829,5/24/2006,10,222
1119,1347,3/2/2006,14,305
1120,1544,7/7/2006,14,178
1121,1817,10/22/2006,14,71
1122,743,10/22/2005,7,436
1123,1612,10/25/2006,18,68
1124,466,8/19/2006,5,135
1125,602,11/2/2006,7,60
1126,609,12/20/2005,5,377
1127,915,8/8/2006,7,146
1128,1076,7/14/2006,12,171
1129,147,12/27/2005,4,370
1130,612,11/1/2005,9,426
1131,939,10/3/2005,13,455
1132,730,9/13/2006,7,110
1133,1568,9/8/2006,13,115
1134,625,8/24/2006,8,130
1135,1511,10/1/2006,13,92
1136,608,1/13/2006,7,353
1137,411,5/31/2006,5,215
1138,1002,8/14/2006,12,140
1139,1163,7/11/2006,14,174
1140,1237,7/6/2006,9,179
1141,876,9/1/2006,11,122
1142,474,8/20/2006,5,134
1143,1114,4/15/2006,7,261
1144,816,10/4/2006,9,89
1145,876,8/17/2006,10,137
1146,1197,9/8/2006,13,115
1147,293,5/7/2005,5,604
1148,438,2/6/2006,8,329
1149,967,7/29/2006,11,156
1150,1510,8/28/2006,14,126
1151,1017,12/3/2005,12,394
1152,782,9/15/2006,7,108
1153,1009,8/24/2006,11,130
1154,889,5/28/2006,10,218
1155,1022,8/20/2006,10,134
1156,982,7/29/2006,9,156
1157,1091,10/28/2006,10,65
1158,1512,9/4/2006,15,119
1159,1054,9/8/2006,9,115
1160,1297,8/10/2006,18,144
1161,718,11/29/2006,10,33
1162,1541,11/5/2006,14,57
1163,844,9/24/2006,8,99
1164,1665,10/1/2006,15,92
1165,1233,12/24/2006,12,8
1166,905,9/4/2006,9,119
1167,732,10/2/2006,10,91
1168,533,11/25/2005,9,402
1169,980,11/6/2006,10,56
1170,871,9/17/2006,11,106
1171,730,6/8/2006,10,207
1172,1296,10/9/2006,13,84
1173,492,8/13/2006,6,141
1174,1947,8/15/2006,16,139
1175,1014,8/7/2006,9,147
1176,871,11/22/2005,9,405
1177,585,10/21/2006,7,72
1178,1126,12/27/2006,9,5
1179,1348,11/3/2006,12,59
1180,1347,10/24/2006,15,69
1181,922,7/1/2006,10,184
1182,868,6/22/2006,7,193
1183,1213,6/11/2006,13,204
1184,853,6/23/2006,11,192
1185,1217,8/16/2006,14,138
1186,1493,11/21/2006,14,41
1187,773,8/17/2006,8,137
1188,918,11/13/2006,9,49
1189,1114,8/21/2006,11,133
1190,1125,5/26/2006,13,220
1191,1454,6/17/2006,13,198
1192,427,2/3/2006,5,332
1193,1274,10/23/2006,15,70
1194,1675,7/14/2006,18,171
1195,722,8/25/2005,8,494
1196,840,12/29/2006,9,3
1197,1705,8/21/2006,17,133
1198,844,5/7/2006,9,239
1199,933,1/29/2006,12,337
1200,1451,2/18/2006,13,317
1201,759,1/17/2006,8,349
1202,1252,9/14/2006,11,109
1203,464,10/6/2005,8,452
1204,1281,10/5/2006,14,88
1205,754,11/13/2006,8,49
1206,790,9/22/2006,8,101
1207,410,6/27/2005,3,553
1208,962,2/28/2006,12,307
1209,1277,10/2/2005,12,456
1210,935,6/17/2006,10,198
1211,1121,6/28/2006,12,187
1212,601,10/7/2006,10,86
1213,1112,6/7/2006,10,208
1214,1487,12/23/2005,14,374
1215,721,6/24/2006,8,191
1216,529,8/27/2006,10,127
1217,949,10/24/2006,9,69
1218,226,10/11/2005,3,447
1219,706,7/2/2006,7,183
1220,756,9/1/2006,9,122
1221,941,7/16/2006,11,169
1222,1547,7/13/2006,14,172
1223,1307,12/3/2005,13,394
1224,679,9/14/2006,10,109
1225,594,10/2/2006,7,91
1226,1055,9/3/2006,10,120
1227,798,8/29/2006,6,125
1228,556,11/27/2006,6,35
1229,1071,4/23/2006,8,253
1230,1372,8/23/2006,13,131
1231,757,7/29/2005,7,521
1232,813,6/9/2006,10,206
1233,904,10/19/2006,9,74
1234,400,8/16/2006,6,138
1235,419,8/3/2006,7,151
1236,777,8/10/2006,9,144
1237,970,10/5/2006,11,88
1238,859,9/13/2006,9,110
1239,955,10/13/2006,8,80
1240,1161,6/29/2006,8,186
1241,781,10/3/2005,8,455
1242,1004,8/5/2005,10,514
1243,1161,4/30/2006,13,246
1244,287,7/13/2005,4,537
1245,606,10/13/2006,7,80
1246,912,6/22/2006,11,193
1247,929,5/16/2006,8,230
1248,609,5/25/2006,6,221
1249,1086,10/15/2006,11,78
1250,470,7/19/2006,8,166
1251,1123,5/24/2006,9,222
1252,1025,11/9/2006,11,53
1253,516,8/27/2005,7,492
1254,846,5/11/2006,11,235
1255,1082,9/16/2006,11,107
1256,668,11/9/2006,7,53
1257,564,4/11/2006,6,265
1258,1833,9/16/2006,18,107
1259,1029,12/21/2005,8,376
1260,557,4/8/2006,9,268
1261,815,9/22/2006,10,101
1262,935,8/10/2006,10,144
1263,718,11/14/2006,6,48
1264,594,7/14/2006,8,171
1265,1132,10/21/2006,14,72
1266,856,11/16/2006,8,46
1267,998,10/15/2006,14,78
1268,580,7/20/2006,7,165
1269,752,8/27/2006,8,127
1270,912,9/28/2006,9,95
1271,476,11/18/2005,5,409
1272,778,12/8/2006,8,24
1273,752,5/20/2006,9,226
1274,884,7/5/2006,9,180
1275,1113,10/1/2006,11,92
1276,906,10/11/2006,10,82
1277,726,11/14/2005,9,413
1278,1539,9/23/2006,19,100
1279,287,10/18/2005,5,440
1280,475,8/15/2006,7,139
1281,1337,9/27/2006,12,96
1282,738,9/14/2006,10,109
1283,380,9/27/2006,4,96
1284,1004,9/30/2006,8,93
1285,876,9/11/2005,10,477
1286,890,7/21/2005,11,529
1287,1347,8/11/2006,12,143
1288,615,6/9/2006,6,206
1289,1146,10/13/2006,9,80
1290,640,8/4/2006,9,150
1291,288,1/24/2006,4,342
1292,382,5/14/2006,5,232
1293,1158,7/7/2006,12,178
1294,512,7/30/2005,5,520
1295,737,6/17/2006,6,198
1296,674,9/23/2005,7,465
1297,1134,10/2/2006,10,91
1298,1504,9/4/2006,13,119
1299,1515,9/15/2006,16,108
1300,763,6/28/2006,9,187
1301,1546,8/18/2006,14,136
1302,553,11/21/2005,5,406
1303,716,9/2/2005,5,486
1304,476,3/4/2006,4,303
1305,865,8/6/2006,8,148
1306,848,12/14/2005,11,383
1307,1012,4/10/2006,14,266
1308,999,7/27/2006,10,158
1309,1297,12/29/2006,12,3
1310,1096,8/31/2006,12,123
1311,1184,8/22/2006,12,132
1312,1138,7/15/2006,10,170
1313,903,11/11/2006,11,51
1314,975,6/8/2006,9,207
1315,506,10/20/2006,8,73
1316,1283,12/26/2006,13,6
1317,1241,5/29/2006,14,217
1318,1000,12/30/2005,9,367
1319,1143,11/25/2006,12,37
1320,1245,10/24/2006,11,69
1321,909,3/6/2006,10,301
1322,978,7/27/2006,11,158
1323,954,12/22/2006,11,10
1324,527,9/12/2006,6,111
1325,905,8/19/2006,8,135
1326,1018,10/21/2005,11,437
1327,1242,9/25/2006,12,98
1328,1620,8/27/2006,14,127
1329,1192,8/18/2006,8,136
1330,1018,9/18/2006,10,105
1331,655,8/1/2006,8,153
1332,791,11/29/2006,11,33
1333,1243,10/28/2006,14,65
1334,811,8/7/2006,9,147
1335,957,8/26/2006,11,128
1336,1181,7/23/2006,12,162
1337,786,12/7/2006,13,25
1338,1497,9/18/2006,16,105
1339,883,9/29/2006,9,94
1340,481,12/6/2006,7,26
1341,1052,9/2/2006,11,121
1342,908,8/7/2005,8,512
1343,1065,10/19/2006,12,74
1344,734,7/23/2006,7,162
1345,696,12/23/2006,10,9
1346,736,2/17/2006,11,318
1347,448,8/21/2005,3,498
1348,647,9/4/2006,9,119
1349,1116,12/10/2006,12,22
1350,877,4/20/2006,12,256
1351,621,7/3/2006,8,182
1352,1274,7/23/2006,12,162
1353,1254,6/3/2006,10,212
1354,411,5/20/2006,8,226
1355,914,6/4/2006,10,211
1356,713,10/17/2006,9,76
1357,888,11/27/2006,9,35
1358,1106,7/3/2006,11,182
1359,1486,9/2/2006,15,121
1360,808,9/15/2005,8,473
1361,1003,11/11/2006,11,51
1362,1332,10/25/2006,12,68
1363,696,9/24/2006,6,99
1364,1220,11/28/2006,13,34
1365,1076,8/18/2006,10,136
1366,1278,12/13/2006,12,19
1367,631,9/21/2005,6,467
1368,1095,8/5/2006,11,149
1369,781,6/12/2006,8,203
1370,464,3/24/2006,6,283
1371,422,7/31/2006,8,154
1372,816,6/15/2006,7,200
1373,715,6/11/2006,8,204
1374,886,1/2/2006,8,364
1375,1594,7/25/2006,17,160
1376,1417,12/4/2006,14,28
1377,1051,8/31/2006,10,123
1378,965,5/17/2006,9,229
1379,713,5/15/2006,6,231
1380,879,2/7/2006,9,328
1381,511,11/4/2006,9,58
1382,1264,11/9/2006,16,53
1383,1349,3/22/2006,10,285
1384,510,7/8/2006,8,177
1385,753,9/4/2006,7,119
1386,657,8/25/2006,7,129
1387,1075,11/16/2006,11,46
1388,348,3/19/2006,4,288
1389,764,7/4/2006,8,181
1390,1229,9/25/2006,12,98
1391,677,9/7/2006,8,116
1392,1399,5/4/2006,12,242
1393,667,6/23/2006,7,192
1394,1267,3/31/2006,12,276
1395,545,11/18/2006,5,44
1396,640,7/1/2006,8,184
1397,868,9/9/2006,11,114
1398,817,4/8/2006,7,268
1399,1014,12/17/2006,10,15
1400,704,7/3/2006,7,182
1401,808,4/12/2006,10,264
1402,691,8/29/2006,9,125
1403,1031,11/11/2006,12,51
1404,969,10/25/2006,9,68
1405,1069,6/2/2006,9,213
1406,848,1/10/2006,10,356
1407,1363,9/3/2006,11,120
1408,910,9/6/2006,10,117
1409,983,7/28/2006,11,157
1410,624,7/7/2006,7,178
1411,1322,11/7/2006,12,55
1412,1150,12/13/2006,13,19
1413,730,11/13/2006,11,49
1414,678,9/3/2006,6,120
1415,942,8/23/2006,9,131
1416,405,8/18/2006,5,136
1417,719,9/29/2005,8,459
1418,936,10/5/2006,7,88
1419,1633,9/19/2006,14,104
1420,734,9/10/2006,9,113
1421,1007,10/7/2006,7,86
1422,1279,9/27/2006,13,96
1423,593,9/26/2006,8,97
1424,1834,10/24/2005,15,434
1425,1126,10/29/2006,12,64
1426,961,10/16/2006,11,77
1427,700,12/21/2006,9,11
1428,647,7/22/2006,6,163
1429,940,5/27/2006,10,219
1430,907,8/22/2006,13,132
1431,1265,7/16/2006,11,169
1432,526,7/20/2005,5,530
1433,1167,9/4/2006,17,119
1434,159,5/2/2006,2,244
1435,403,6/2/2006,3,213
1436,1180,8/15/2006,16,139
1437,497,10/2/2005,5,456
1438,729,7/1/2005,6,549
1439,443,8/14/2006,5,140
1440,1157,10/23/2005,13,435
1441,481,12/5/2006,6,27
1442,864,8/20/2005,7,499
1443,1000,6/22/2006,10,193
1444,971,1/31/2006,8,335
1445,1065,11/2/2006,11,60
1446,613,8/7/2006,9,147
1447,1038,6/23/2006,10,192
1448,1077,12/13/2005,10,384
1449,682,10/15/2005,9,443
1450,716,4/15/2006,7,261
1451,943,1/24/2006,8,342
1452,1462,5/21/2006,13,225
1453,1189,7/23/2006,13,162
1454,912,11/30/2006,9,32
1455,1225,8/8/2006,11,146
1456,1341,6/20/2006,10,195
1457,1682,12/8/2006,15,24
1458,880,8/27/2006,9,127
1459,861,2/7/2006,8,328
1460,1048,5/31/2006,11,215
1461,599,8/2/2006,7,152
1462,452,11/4/2005,5,423
1463,755,12/29/2005,9,368
1464,1496,7/5/2006,14,180
1465,903,7/20/2006,9,165
1466,674,11/23/2006,8,39
1467,1396,6/12/2006,13,203
1468,556,8/12/2006,7,142
1469,1383,10/18/2006,13,75
1470,1641,3/10/2006,16,297
1471,847,7/25/2006,9,160
1472,851,10/9/2006,9,84
1473,1191,9/20/2006,12,103
1474,1167,8/9/2006,14,145
1475,819,8/8/2006,8,146
1476,969,11/3/2006,8,59
1477,706,5/7/2006,7,239
1478,985,10/29/2006,12,64
1479,1051,10/16/2005,12,442
1480,917,7/6/2006,9,179
1481,481,12/14/2006,5,18
1482,827,8/4/2006,9,150
1483,679,11/11/2006,8,51
1484,690,9/7/2006,8,116
1485,863,11/9/2005,9,418
1486,856,5/19/2006,6,227
1487,628,9/24/2006,8,99
1488,620,11/10/2006,7,52
1489,737,11/8/2005,8,419
1490,1606,10/31/2006,17,62
1491,1567,11/8/2006,14,54
1492,1315,6/5/2006,10,210
1493,1067,10/8/2006,12,85
1494,1070,9/21/2006,10,102
1495,1252,11/17/2006,12,45
1496,604,10/23/2006,9,70
1497,1345,11/6/2006,15,56
1498,1014,8/29/2006,10,125
1499,810,9/1/2006,10,122
1500,985,9/3/2006,10,120
1501,426,11/26/2006,4,36
1502,528,10/4/2005,6,454
1503,1593,8/6/2006,15,148
1504,1525,2/25/2006,14,310
1505,789,6/18/2006,10,197
1506,1109,8/23/2006,10,131
1507,628,5/28/2006,7,218
1508,653,10/1/2006,7,92
1509,1207,8/19/2006,12,135
1510,574,7/22/2006,6,163
1511,1217,9/26/2006,11,97
1512,993,6/2/2006,9,213
1513,863,12/20/2005,7,377
1514,553,7/9/2006,4,176
1515,898,12/6/2006,14,26
1516,815,8/10/2006,6,144
1517,780,5/7/2006,12,239
1518,386,11/1/2006,6,61
1519,696,10/2/2005,9,456
1520,617,7/28/2006,9,157
1521,1072,12/22/2006,10,10
1522,271,2/15/2006,5,320
1523,609,10/14/2005,8,444
1524,889,5/27/2006,9,219
1525,1647,4/30/2006,16,246
1526,858,7/25/2006,9,160
1527,170,3/19/2005,2,653
1528,598,12/10/2006,6,22
1529,1189,9/27/2006,12,96
1530,908,7/1/2006,11,184
1531,1299,10/12/2006,13,81
1532,895,11/5/2006,10,57
1533,917,9/1/2006,12,122
1534,851,9/13/2006,8,110
1535,712,10/30/2006,8,63
1536,1388,9/2/2006,15,121
1537,1017,9/16/2006,10,107
1538,1246,10/16/2006,12,77
1539,660,6/4/2006,9,211
1540,411,9/27/2005,6,461
1541,417,11/21/2006,5,41
1542,333,4/16/2006,3,260
1543,740,7/4/2006,8,181
1544,832,6/8/2006,10,207
1545,847,4/27/2006,6,249
1546,1017,3/6/2006,11,301
1547,554,8/2/2006,7,152
1548,705,8/12/2006,4,142
1549,807,10/10/2006,12,83
1550,874,8/9/2006,12,145
1551,1611,6/16/2006,18,199
1552,682,6/12/2006,9,203
1553,501,6/20/2006,11,195
1554,746,11/7/2005,8,420
1555,1442,6/9/2006,13,206
1556,1055,8/20/2006,13,134
1557,1310,9/22/2006,19,101
1558,1047,5/26/2006,9,220
1559,841,11/11/2006,10,51
1560,670,8/14/2005,6,505
1561,1126,11/28/2006,8,34
1562,675,9/24/2006,10,99
1563,1091,11/19/2006,11,43
1564,913,10/10/2006,8,83
1565,556,10/2/2005,5,456
1566,352,12/16/2005,3,381
1567,843,12/21/2006,10,11
1568,1086,7/13/2006,11,172
1569,806,8/8/2006,8,146
1570,1154,8/1/2006,12,153
1571,708,8/16/2006,8,138
1572,1541,1/13/2006,11,353
1573,931,9/13/2006,10,110
1574,460,5/26/2006,7,220
1575,1717,7/5/2006,20,180
1576,752,6/23/2006,7,192
1577,1196,6/4/2006,13,211
1578,774,4/11/2006,9,265
1579,822,9/13/2006,12,110
1580,404,2/28/2006,8,307
1581,824,10/13/2006,12,80
1582,955,6/19/2006,10,196
1583,683,7/14/2006,8,171
1584,931,11/8/2006,11,54
1585,1327,8/19/2006,12,135
1586,805,8/16/2006,9,138
1587,860,11/26/2006,11,36
1588,673,5/27/2006,11,219
1589,854,12/20/2006,10,12
1590,548,8/15/2006,6,139
1591,308,10/16/2006,4,77
1592,735,8/18/2006,11,136
1593,872,9/3/2006,14,120
1594,1343,7/7/2006,14,178
1595,613,8/20/2006,9,134
1596,624,10/1/2006,9,92
1597,1279,11/23/2006,11,39
1598,1472,4/9/2006,11,267
1599,1231,4/14/2006,14,262
1600,1057,9/14/2006,12,109
1601,780,11/10/2006,9,52
1602,908,9/14/2006,9,109
1603,571,3/27/2006,7,280
1604,1510,8/15/2006,15,139
1605,1086,1/27/2006,11,339
1606,470,7/22/2004,4,893
1607,1464,8/8/2006,13,146
1608,1643,7/27/2006,13,158
1609,1206,10/4/2006,15,89
1610,672,9/30/2006,6,93
1611,570,11/19/2006,7,43
1612,1177,10/10/2006,10,83
1613,660,8/27/2005,7,492
1614,1287,9/21/2006,17,102
1615,974,10/12/2006,10,81
1616,1529,7/21/2006,16,164
1617,1016,10/1/2005,8,457
1618,680,5/26/2006,9,220
1619,786,11/13/2006,7,49
1620,939,8/1/2006,11,153
1621,1025,6/25/2006,10,190
1622,956,8/7/2006,11,147
1623,757,10/8/2006,9,85
1624,979,11/22/2006,11,40
1625,1239,9/13/2006,16,110
1626,656,10/31/2006,6,62
1627,1048,8/29/2006,10,125
1628,618,3/18/2006,6,289
1629,604,7/7/2006,7,178
1630,464,12/21/2006,6,11
1631,1068,4/26/2006,10,250
1632,386,7/27/2006,4,158
1633,595,7/8/2006,5,177
1634,848,12/13/2006,10,19
1635,827,12/4/2006,8,28
1636,691,10/2/2005,7,456
1637,1658,8/29/2006,15,125
1638,1046,8/22/2006,10,132
1639,838,12/28/2006,9,4
1640,912,10/9/2006,7,84
1641,728,8/28/2006,9,126
1642,1665,8/6/2006,15,148
1643,599,7/28/2005,9,522
1644,1052,8/22/2006,11,132
1645,1355,10/31/2006,14,62
1646,755,6/3/2006,9,212
1647,660,11/1/2006,8,61
1648,1042,11/26/2006,13,36
1649,738,7/6/2006,8,179
1650,1220,9/30/2006,15,93
1651,895,5/17/2006,10,229
1652,1324,2/5/2006,12,330
1653,1275,9/10/2006,14,113
1654,790,7/5/2005,6,545
1655,630,10/27/2005,8,431
1656,1112,9/11/2006,12,112
1657,1029,1/23/2006,9,343
1658,933,10/3/2006,9,90
1659,1001,11/3/2006,11,59
1660,969,11/11/2006,9,51
1661,1887,8/8/2006,14,146
1662,649,7/16/2005,7,534
1663,1411,7/4/2006,12,181
1664,1246,6/12/2006,12,203
1665,737,8/3/2006,8,151
1666,1256,8/16/2006,16,138
1667,1510,11/2/2006,15,60
1668,845,12/6/2006,8,26
1669,1151,9/1/2006,14,122
1670,953,8/26/2006,9,128
1671,645,1/20/2006,7,346
1672,876,8/11/2006,10,143
1673,615,11/24/2005,7,403
1674,1830,9/16/2006,18,107
1675,947,4/4/2006,11,272
1676,1327,3/31/2006,10,276
1677,805,8/19/2006,9,135
1678,1254,10/22/2006,11,71
1679,1035,9/12/2006,12,111
1680,1280,8/25/2006,10,129
1681,1505,8/25/2006,12,129
1682,647,8/13/2006,8,141
1683,1009,7/29/2006,11,156
1684,762,1/13/2006,10,353
1685,1028,5/20/2006,10,226
1686,1030,9/2/2006,9,121
1687,1218,7/4/2006,13,181
1688,1493,2/25/2006,15,310
1689,898,6/6/2006,10,209
1690,861,6/7/2006,10,208
1691,814,8/4/2005,7,515
1692,786,7/3/2006,7,182
1693,1718,11/10/2006,14,52
1694,670,8/27/2006,8,127
1695,1589,10/18/2006,16,75
1696,841,6/26/2006,7,189
1697,448,10/8/2006,6,85
1698,1093,12/14/2006,13,18
1699,2027,11/25/2005,16,402
1700,753,7/1/2006,9,184
1701,1395,10/13/2006,14,80
1702,557,4/11/2006,7,265
1703,1608,9/14/2006,16,109
1704,1274,12/3/2006,11,29
1705,1076,6/15/2006,9,200
1706,733,9/26/2006,11,97
1707,618,7/4/2006,8,181
1708,653,9/1/2006,7,122
1709,402,2/11/2006,6,324
1710,897,12/22/2006,11,10
1711,1096,10/20/2006,11,73
1712,772,12/21/2005,11,376
1713,697,11/6/2006,7,56
1714,233,6/19/2006,4,196
1715,1231,12/14/2006,12,18
1716,616,9/3/2006,6,120
1717,820,10/30/2006,10,63
1718,1179,5/27/2006,10,219
1719,1018,5/19/2006,9,227
1720,562,7/25/2005,7,525
1721,825,1/14/2006,8,352
1722,1000,7/16/2006,13,169
1723,795,11/9/2005,9,418
1724,629,4/14/2006,7,262
1725,956,12/24/2005,8,373
1726,1076,10/11/2005,12,447
1727,605,6/12/2006,5,203
1728,1084,8/9/2006,7,145
1729,467,5/31/2006,6,215
1730,880,7/2/2006,9,183
1731,904,10/30/2006,11,63
1732,710,7/27/2006,7,158
1733,829,10/15/2006,9,78
1734,1578,6/14/2006,16,201
1735,688,9/22/2006,9,101
1736,1247,7/3/2006,13,182
1737,1158,9/26/2006,11,97
1738,711,11/17/2006,6,45
1739,1230,10/15/2006,11,78
1740,1099,12/24/2005,9,373
1741,408,11/2/2006,7,60
1742,916,11/3/2005,9,424
1743,800,10/7/2006,9,86
1744,909,8/19/2006,11,135
1745,1635,9/30/2006,16,93
1746,842,3/10/2006,11,297
1747,710,11/13/2005,9,414
1748,1164,12/13/2006,13,19
1749,505,2/25/2006,6,310
1750,1444,9/25/2006,14,98
1751,1350,10/11/2006,12,82
1752,2023,10/18/2006,17,75
1753,747,7/23/2005,10,527
1754,855,6/25/2006,9,190
1755,988,10/11/2005,11,447
1756,1289,7/22/2006,13,163
1757,591,5/20/2006,9,226
1758,767,7/31/2006,6,154
1759,1321,11/23/2006,13,39
1760,1091,3/13/2006,13,294
1761,991,7/24/2005,11,526
